year,election,county,raw_votes_D,raw_votes_R,d_candidate,r_candidate
2022,governor,Monterey,"65,262","36,867",Gavin Newsom,Brian Dahle
2022,governor,Napa,"32,437","17,671",Gavin Newsom,Brian Dahle
2022,governor,Nevada,"26,655","24,082",Gavin Newsom,Brian Dahle
2022,governor,Orange,"464,206","492,734",Gavin Newsom,Brian Dahle
2022,governor,Placer,"73,619","108,450",Gavin Newsom,Brian Dahle
2022,governor,Plumas,"3,083","5,550",Gavin Newsom,Brian Dahle
2022,governor,Riverside,"285,000","310,901",Gavin Newsom,Brian Dahle
2022,governor,Sacramento,"274,680","202,933",Gavin Newsom,Brian Dahle
2022,governor,San Benito,"10,428","9,150",Gavin Newsom,Brian Dahle
2022,governor,San Bernardino,"215,391","239,109",Gavin Newsom,Brian Dahle
2022,governor,San Diego,"574,121","455,107",Gavin Newsom,Brian Dahle
2022,governor,San Francisco,"257,402","44,064",Gavin Newsom,Brian Dahle
2022,governor,San Joaquin,"85,498","91,827",Gavin Newsom,Brian Dahle
2022,governor,San Luis Obispo,"61,166","58,464",Gavin Newsom,Brian Dahle
2022,governor,San Mateo,"185,599","61,918",Gavin Newsom,Brian Dahle
2022,governor,Santa Barbara,"80,648","54,726",Gavin Newsom,Brian Dahle
2022,governor,Santa Clara,"379,377","162,518",Gavin Newsom,Brian Dahle
2022,governor,Santa Cruz,"79,117","25,052",Gavin Newsom,Brian Dahle
2022,governor,Shasta,"18,607","49,913",Gavin Newsom,Brian Dahle
2022,governor,Sierra,529,"1,014",Gavin Newsom,Brian Dahle
2022,governor,Siskiyou,"6,326","11,397",Gavin Newsom,Brian Dahle
2022,governor,Solano,"77,769","52,850",Gavin Newsom,Brian Dahle
2022,governor,Sonoma,"140,041","57,413",Gavin Newsom,Brian Dahle
2022,governor,Stanislaus,"55,311","75,656",Gavin Newsom,Brian Dahle
2022,governor,Sutter,"9,082","19,024",Gavin Newsom,Brian Dahle
2022,governor,Tehama,"5,024","15,607",Gavin Newsom,Brian Dahle
2022,governor,Trinity,"1,860","2,667",Gavin Newsom,Brian Dahle
2022,governor,Tulare,"33,273","58,053",Gavin Newsom,Brian Dahle
2022,governor,Tuolumne,"8,471","14,759",Gavin Newsom,Brian Dahle
2022,governor,Ventura,"153,226","127,709",Gavin Newsom,Brian Dahle
2022,governor,Yolo,"44,328","22,807",Gavin Newsom,Brian Dahle
2022,governor,Yuba,"6,534","13,097",Gavin Newsom,Brian Dahle
2022,senate,Alameda,"383,300","94,283",Alex Padilla,Mark P. Meuser
2022,senate,Alpine,372,240,Alex Padilla,Mark P. Meuser
2022,senate,Amador,"6,522","11,917",Alex Padilla,Mark P. Meuser
2022,senate,Butte,"33,467","38,183",Alex Padilla,Mark P. Meuser
2022,senate,Calaveras,"7,649","13,415",Alex Padilla,Mark P. Meuser
2022,senate,Colusa,"1,807","3,651",Alex Padilla,Mark P. Meuser
2022,senate,Contra Costa,"267,331","116,122",Alex Padilla,Mark P. Meuser
2022,senate,Del Norte,"3,400","4,852",Alex Padilla,Mark P. Meuser
2022,senate,El Dorado,"36,669","51,025",Alex Padilla,Mark P. Meuser
2022,senate,Fresno,"100,963","113,845",Alex Padilla,Mark P. Meuser
2022,senate,Glenn,"2,234","5,600",Alex Padilla,Mark P. Meuser
2022,senate,Humboldt,"30,612","17,096",Alex Padilla,Mark P. Meuser
2022,senate,Imperial,"17,774","11,919",Alex Padilla,Mark P. Meuser
2022,senate,Inyo,"3,488","3,878",Alex Padilla,Mark P. Meuser
2022,senate,Kern,"73,784","113,432",Alex Padilla,Mark P. Meuser
2022,senate,Kings,"10,067","16,533",Alex Padilla,Mark P. Meuser
2022,senate,Lake,"10,138","9,769",Alex Padilla,Mark P. Meuser
2022,senate,Lassen,"1,888","7,181",Alex Padilla,Mark P. Meuser
2022,senate,Los Angeles,"1,670,306","715,913",Alex Padilla,Mark P. Meuser
2022,senate,Madera,"14,018","22,514",Alex Padilla,Mark P. Meuser
2022,senate,Marin,"95,496","22,326",Alex Padilla,Mark P. Meuser
2022,senate,Mariposa,"3,050","4,703",Alex Padilla,Mark P. Meuser
2022,senate,Mendocino,"19,745","10,406",Alex Padilla,Mark P. Meuser
2022,senate,Merced,"26,755","27,893",Alex Padilla,Mark P. Meuser
2022,senate,Modoc,802,"2,552",Alex Padilla,Mark P. Meuser
2022,senate,Mono,"2,594","1,925",Alex Padilla,Mark P. Meuser
2022,senate,Monterey,"67,153","34,026",Alex Padilla,Mark P. Meuser
2022,senate,Napa,"32,651","16,549",Alex Padilla,Mark P. Meuser
2022,senate,Nevada,"27,898","22,478",Alex Padilla,Mark P. Meuser
2022,senate,Orange,"479,494","489,185",Alex Padilla,Mark P. Meuser
2022,senate,Placer,"77,540","102,597",Alex Padilla,Mark P. Meuser
2022,senate,Plumas,"3,405","5,153",Alex Padilla,Mark P. Meuser
2022,senate,Riverside,"289,599","296,687",Alex Padilla,Mark P. Meuser
2022,senate,Sacramento,"283,117","188,925",Alex Padilla,Mark P. Meuser
2022,senate,San Benito,"11,016","8,368",Alex Padilla,Mark P. Meuser
2022,senate,San Bernardino,"218,494","226,470",Alex Padilla,Mark P. Meuser
2022,senate,San Diego,"586,284","432,027",Alex Padilla,Mark P. Meuser
2022,senate,San Francisco,"254,756","42,699",Alex Padilla,Mark P. Meuser
2022,senate,San Joaquin,"90,289","85,078",Alex Padilla,Mark P. Meuser
2022,senate,San Luis Obispo,"63,076","55,087",Alex Padilla,Mark P. Meuser
2022,senate,San Mateo,"186,891","57,825",Alex Padilla,Mark P. Meuser
2022,senate,Santa Barbara,"82,255","51,339",Alex Padilla,Mark P. Meuser
2022,senate,Santa Clara,"383,152","153,249",Alex Padilla,Mark P. Meuser
2022,senate,Santa Cruz,"80,675","22,810",Alex Padilla,Mark P. Meuser
2022,senate,Shasta,"20,805","46,750",Alex Padilla,Mark P. Meuser
2022,senate,Sierra,572,973,Alex Padilla,Mark P. Meuser
2022,senate,Siskiyou,"6,892","10,607",Alex Padilla,Mark P. Meuser
2022,senate,Solano,"80,317","49,443",Alex Padilla,Mark P. Meuser
2022,senate,Sonoma,"143,197","51,982",Alex Padilla,Mark P. Meuser
2022,senate,Stanislaus,"57,861","70,792",Alex Padilla,Mark P. Meuser
2022,senate,Sutter,"9,797","17,827",Alex Padilla,Mark P. Meuser
2022,senate,Tehama,"5,670","14,784",Alex Padilla,Mark P. Meuser
2022,senate,Trinity,"2,019","2,488",Alex Padilla,Mark P. Meuser
2022,senate,Tulare,"35,215","55,359",Alex Padilla,Mark P. Meuser
2022,senate,Tuolumne,"8,932","14,016",Alex Padilla,Mark P. Meuser
2022,senate,Ventura,"155,231","121,822",Alex Padilla,Mark P. Meuser
2022,senate,Yolo,"46,094","21,022",Alex Padilla,Mark P. Meuser
2022,senate,Yuba,"7,043","12,439",Alex Padilla,Mark P. Meuser
2024,president,Alameda,"499,551","140,789",Kamala D. Harris,Donald J. Trump
2024,president,Alpine,479,243,Kamala D. Harris,Donald J. Trump
2024,president,Amador,"7,783","14,018",Kamala D. Harris,Donald J. Trump
2024,president,Butte,"44,228","47,179",Kamala D. Harris,Donald J. Trump
2024,president,Calaveras,"9,181","16,625",Kamala D. Harris,Donald J. Trump
2024,president,Colusa,"2,431","4,414",Kamala D. Harris,Donald J. Trump
2024,president,Contra Costa,"356,008","155,308",Kamala D. Harris,Donald J. Trump
2024,president,Del Norte,"4,266","5,999",Kamala D. Harris,Donald J. Trump
2024,president,El Dorado,"47,703","61,109",Kamala D. Harris,Donald J. Trump
2024,president,Fresno,"151,628","165,924",Kamala D. Harris,Donald J. Trump
2024,president,Glenn,"3,260","6,904",Kamala D. Harris,Donald J. Trump
2024,president,Humboldt,"39,800","21,559",Kamala D. Harris,Donald J. Trump
2024,president,Imperial,"26,083","26,546",Kamala D. Harris,Donald J. Trump
2024,president,Inyo,"4,201","4,468",Kamala D. Harris,Donald J. Trump
2024,president,Kern,"108,241","167,879",Kamala D. Harris,Donald J. Trump
2024,president,Kings,"15,519","25,074",Kamala D. Harris,Donald J. Trump
2024,president,Lake,"12,794","13,161",Kamala D. Harris,Donald J. Trump
2024,president,Lassen,"2,478","8,619",Kamala D. Harris,Donald J. Trump
2024,president,Los Angeles,"2,417,109","1,189,862",Kamala D. Harris,Donald J. Trump
2024,president,Madera,"20,981","32,344",Kamala D. Harris,Donald J. Trump
2024,president,Marin,"116,152","24,054",Kamala D. Harris,Donald J. Trump
2024,president,Mariposa,"3,622","5,625",Kamala D. Harris,Donald J. Trump
2024,president,Mendocino,"24,049","13,528",Kamala D. Harris,Donald J. Trump
2024,president,Merced,"40,190","43,955",Kamala D. Harris,Donald J. Trump
2024,president,Modoc,"1,008","2,884",Kamala D. Harris,Donald J. Trump
2024,president,Mono,"3,522","2,294",Kamala D. Harris,Donald J. Trump
2024,president,Monterey,"93,060","49,226",Kamala D. Harris,Donald J. Trump
2024,president,Napa,"43,212","20,357",Kamala D. Harris,Donald J. Trump
2024,president,Nevada,"33,784","26,177",Kamala D. Harris,Donald J. Trump
2024,president,Orange,"691,731","654,815",Kamala D. Harris,Donald J. Trump
2024,president,Placer,"103,958","123,941",Kamala D. Harris,Donald J. Trump
2024,president,Plumas,"4,020","5,725",Kamala D. Harris,Donald J. Trump
2024,president,Riverside,"451,782","463,677",Kamala D. Harris,Donald J. Trump
2024,president,Sacramento,"381,564","252,140",Kamala D. Harris,Donald J. Trump
2024,president,San Benito,"15,179","11,702",Kamala D. Harris,Donald J. Trump
2024,president,San Bernardino,"362,114","378,416",Kamala D. Harris,Donald J. Trump
2024,president,San Diego,"841,372","593,270",Kamala D. Harris,Donald J. Trump
2024,president,San Francisco,"323,719","62,594",Kamala D. Harris,Donald J. Trump
2024,president,San Joaquin,"126,647","128,996",Kamala D. Harris,Donald J. Trump
2024,president,San Luis Obispo,"81,314","64,932",Kamala D. Harris,Donald J. Trump
2024,president,San Mateo,"242,957","76,616",Kamala D. Harris,Donald J. Trump
2024,president,Santa Barbara,"114,149","64,870",Kamala D. Harris,Donald J. Trump
2024,president,Santa Clara,"510,744","210,924",Kamala D. Harris,Donald J. Trump
2024,president,Santa Cruz,"100,998","27,978",Kamala D. Harris,Donald J. Trump
2024,president,Shasta,"27,130","59,539",Kamala D. Harris,Donald J. Trump
2024,president,Sierra,641,"1,066",Kamala D. Harris,Donald J. Trump
2024,president,Siskiyou,"8,329","12,461",Kamala D. Harris,Donald J. Trump
2024,president,Solano,"113,997","70,345",Kamala D. Harris,Donald J. Trump
2024,president,Sonoma,"179,600","63,426",Kamala D. Harris,Donald J. Trump
2024,president,Stanislaus,"85,347","106,986",Kamala D. Harris,Donald J. Trump
2024,president,Sutter,"13,016","25,372",Kamala D. Harris,Donald J. Trump
2024,president,Tehama,"7,415","18,503",Kamala D. Harris,Donald J. Trump
2024,president,Trinity,"2,449","2,979",Kamala D. Harris,Donald J. Trump
2024,president,Tulare,"53,221","81,854",Kamala D. Harris,Donald J. Trump
2024,president,Tuolumne,"10,909","17,210",Kamala D. Harris,Donald J. Trump
2024,president,Ventura,"217,424","158,901",Kamala D. Harris,Donald J. Trump
2024,president,Yolo,"61,405","27,844",Kamala D. Harris,Donald J. Trump
2024,president,Yuba,"10,725","18,491",Kamala D. Harris,Donald J. Trump
2024,senate,Alameda,"489,039","147,721",Adam B. Schiff,Steve Garvey
2024,senate,Alpine,463,262,Adam B. Schiff,Steve Garvey
2024,senate,Amador,"7,454","14,534",Adam B. Schiff,Steve Garvey
2024,senate,Butte,"42,417","49,192",Adam B. Schiff,Steve Garvey
2024,senate,Calaveras,"8,956","17,109",Adam B. Schiff,Steve Garvey
2024,senate,Colusa,"2,436","4,471",Adam B. Schiff,Steve Garvey
2024,senate,Contra Costa,"343,169","165,245",Adam B. Schiff,Steve Garvey
2024,senate,Del Norte,"4,217","6,084",Adam B. Schiff,Steve Garvey
2024,senate,El Dorado,"45,734","64,663",Adam B. Schiff,Steve Garvey
2024,senate,Fresno,"148,396","166,675",Adam B. Schiff,Steve Garvey
2024,senate,Glenn,"3,122","7,114",Adam B. Schiff,Steve Garvey
2024,senate,Humboldt,"40,240","22,793",Adam B. Schiff,Steve Garvey
2024,senate,Imperial,"26,441","26,579",Adam B. Schiff,Steve Garvey
2024,senate,Inyo,"4,134","4,673",Adam B. Schiff,Steve Garvey
2024,senate,Kern,"107,501","168,458",Adam B. Schiff,Steve Garvey
2024,senate,Kings,"15,225","25,354",Adam B. Schiff,Steve Garvey
2024,senate,Lake,"12,797","13,401",Adam B. Schiff,Steve Garvey
